"ScanID","PFT","PFT_2","PFT_3","PFT_4","Freq1","Freq2","Freq3","area","450","520","630","770","1550","2090"
"72","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub",10,971,992,"12mile",0.074831,0.093797,0.087264,0.572361,0.327275,0.210423
"67","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub",10,971,992,"12mile",0.070633,0.094225,0.077473,0.603818,0.339954,0.21348
"68","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub",10,971,992,"12mile",0.072731,0.084969,0.065721,0.708736,0.324176,0.185115
"empnig_Beth001","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Bethel",0.037325,0.056324,0.134295,0.382729,0.279547,0.176343
"empnig_Beth002","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Bethel",0.043599,0.107213,0.117536,0.600507,0.211073,0.118662
"empnig_Beth003","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Bethel",0.019669,0.060213,0.101624,0.347169,0.195267,0.10761
"empnig_Beth004","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Bethel",0.022536,0.05356,0.057728,0.374713,0.136422,0.075135
"empnig_Beth005","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Bethel",0.041512,0.092766,0.085033,0.539795,0.217744,0.125724
"empnig_Beth006","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Bethel",0.047834,0.114964,0.113252,0.517696,0.252682,0.146063
"empnig_Beth007","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Bethel",0.05109,0.128671,0.112563,0.603028,0.249075,0.147298
"empnig_Beth008","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub",12,21,992,"Bethel",0.052147,0.128156,0.113812,0.603028,0.254997,0.15278
