"ScanID","PFT","PFT_2","PFT_3","PFT_4","Freq1","Freq2","Freq3","area","NDVI","NDWI","NDMI","NDSI","NBR","EVI"
"sphagn_AK2018_08","sphagn","Sphagnum sp.","Moss_Sphagnum","Moss",8,12,90,"AK2018",0.4085595558559,-0.598530573851587,0.0400376020168354,-0.572205140708033,0.202101694483211,0.288840691144047
"sphfus_Beth001","sphfus","Sphagnum fuscum","Moss_Sphagnum","Moss",4,12,90,"Bethel",0.617243341592812,-0.845387361469429,0.592082719950963,-0.507156249419889,0.725815587386308,0.377783108910353
"sphfus_Beth002","sphfus","Sphagnum fuscum","Moss_Sphagnum","Moss",4,12,90,"Bethel",0.653352481823894,-0.877353531235584,0.701484265232801,-0.457337478935751,0.788098248840863,0.422584616381192
"sphfus_Beth003","sphfus","Sphagnum fuscum","Moss_Sphagnum","Moss",4,12,90,"Bethel",0.658661895102355,-0.867729740692838,0.744627855334876,-0.347878827617861,0.819472695471918,0.371510577520072
"sphfus_Beth004","sphfus","Sphagnum fuscum","Moss_Sphagnum","Moss",4,12,90,"Bethel",0.601215849641542,-0.845928325119714,0.635626478638029,-0.454897941543287,0.73400216386348,0.330749195628429
"alnfru_000036","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.828502492981704,-0.805659336152188,0.279499790610638,-0.679074678973083,0.529784337200964,0.765750737488348
"alnfru_000044","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.83750961664759,-0.787013972908215,0.23946799515991,-0.674703798569091,0.465878489130126,0.774336928009327
"alnfru_000043","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.831903564561455,-0.780008587098872,0.262343598909954,-0.650848230832834,0.497454219014241,0.779846963092628
"alnfru_000034","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.795644663438394,-0.786135601814033,0.270893071407765,-0.654657541308217,0.510778751278646,0.708578451564525
"alnfru_000015","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.807642158638174,-0.756262896079592,0.314643333500957,-0.57951754700633,0.523725334824681,0.776768113394863
"alnfru_00007","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.796128095799692,-0.742792909367149,0.273881678338236,-0.588668376583339,0.509877371728388,0.740662093365563
"alnfru_00009","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.856861838476265,-0.803002555953323,0.305396512198182,-0.659285344522246,0.541987483917036,0.713894932978471
"alnfru_000032","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.769024275323728,-0.710768156424581,0.258135793640298,-0.554339668321026,0.47246660786385,0.746212628146334
"alnfru_000027","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.811949989693501,-0.760604718343765,0.239665768077109,-0.63707125089049,0.460460123042416,0.729086578163531
"alnfru_000014","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.773401115614834,-0.714076746438362,0.281158108408392,-0.54166861580203,0.469718342899145,0.694570605046665
"alnfru_000019","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.743240535964709,-0.709753231492362,0.378356594540618,-0.453061757883541,0.564102564102564,0.609621991577044
"alnfru_000041","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.790635927652123,-0.791333998669328,0.266570049137731,-0.665054497617902,0.496981052302364,0.738127815709537
"alnfru_00006","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.892381763849763,-0.82400741881739,0.309126187854029,-0.690858201872604,0.563962567700744,0.743427697712473
"alnfru_000029","alnfru","Alnus sp.","Shrub_Alder","Shrub",44,44,241,"Yukon_Delta",0.822719526582895,-0.789469620085602,0.27979561433382,-0.65417475786797,0.509983151976618,0.764142738866355
