"ScanID","PFT","PFT_2.x","PFT_3.x","PFT_4","color","veg_lifeform_code","group","Freq1","Freq2","Freq3","area","450","520","630","770","1550","2090"
"asachr_Brooks001","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"Brooks_Range",0.268566,0.337078,0.385417,0.548516,0.451071,0.33714
"7","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.472263,0.562524,0.58958,0.802598,0.71291,0.494797
"3","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.246469,0.269204,0.288003,0.520353,0.53717,0.366731
"14","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.293917,0.36261,0.397244,0.520675,0.46948,0.317997
"claama_AK2018_03","claama","Cladonia amaurocraea","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"AK2018",0.090974,0.103936,0.112101,0.201875,0.144459,0.101474
"53","claama","Cladonia amaurocraea","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.105937,0.141982,0.180849,0.321053,0.218365,0.142731
"claama_AK2018_01","claama","Cladonia amaurocraea","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"AK2018",0.105985,0.129582,0.174273,0.328917,0.275127,0.18677
"claama_AK2018_04","claama","Cladonia amaurocraea","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"AK2018",0.167521,0.201208,0.239182,0.420007,0.304714,0.198558
"54","claama","Cladonia amaurocraea","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.096841,0.130178,0.15718,0.243658,0.166505,0.107044
"claama_AK2018_02","claama","Cladonia amaurocraea","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"AK2018",0.126873,0.152849,0.176671,0.32495,0.215071,0.139789
"37","clasul","Cladonia sulphurina","Lichen_Yellow","Lichen","yellow","lich_fr",0,3,206,464,"Murphy",0.194884,0.289313,0.307032,0.5948,0.330751,0.247688
"38","clasul","Cladonia sulphurina","Lichen_Yellow","Lichen","yellow","lich_fr",0,3,206,464,"Murphy",0.208295,0.318355,0.299502,0.770396,0.490383,0.373143
"36","clasul","Cladonia sulphurina","Lichen_Yellow","Lichen","yellow","lich_fr",0,3,206,464,"Murphy",0.249456,0.346585,0.358618,0.515126,0.271315,0.217314
"claunc_Brooks001","claunc","Cladonia uncialis","Lichen_Yellow","Lichen","yellow","lich_fr",0,10,206,464,"Brooks_Range",0.104435,0.140907,0.170241,0.237894,0.182773,0.117006
"claunc_Brooks002","claunc","Cladonia uncialis","Lichen_Yellow","Lichen","yellow","lich_fr",0,10,206,464,"Brooks_Range",0.145378,0.200739,0.254102,0.390331,0.305706,0.200022
"claunc_Brooks003","claunc","Cladonia uncialis","Lichen_Yellow","Lichen","yellow","lich_fr",0,10,206,464,"Brooks_Range",0.093377,0.12571,0.154995,0.241147,0.197136,0.127719
