"ScanID","PFT","PFT_2.x","PFT_3.x","PFT_4","color","veg_lifeform_code","group","Freq1","Freq2","Freq3","area","NDVI","NDWI","NDMI","NDSI","NBR","EVI"
"icmeri_Beth003","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.185018008182755,-0.257123931017986,0.281917476799732,0.0267312321139799,0.441390548075599,0.257318853844287
"icmeri_Beth008","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.117277231962845,-0.166949445565732,0.144146736623844,-0.0233649925761825,0.280673151381844,0.205180796161765
"icmeri_Beth006","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.172972553409223,-0.222062851269304,0.250275691569444,0.0298730953383773,0.418295923811029,0.247784534373294
"icmeri_Beth001","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.118833656122229,-0.206280560308576,0.216285701586321,0.0104723717536903,0.372244047988239,0.159859657451862
"icmeri_Beth007","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.424529654334938,-0.420098694442343,0.220544599763008,-0.219930792195652,0.393002483504008,0.4526573455288
"icmeri_Beth002","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.184161353974591,-0.253797698022437,0.16929430646521,-0.0882972142798358,0.329332378018859,0.244977868387475
"paromp_Brooks002","paromp","Parmelia omphalodes","Lichen_Light","Lichen","white","lich_fo",0,4,90,464,"Brooks_Range",0.288918447086208,-0.348474481926873,-0.529378672840006,-0.74113272574804,-0.444029012254187,0.117094635268326
"paromp_Brooks003","paromp","Parmelia omphalodes","Lichen_Light","Lichen","white","lich_fo",0,4,90,464,"Brooks_Range",0.26263356964223,-0.32187949669476,-0.603421133778016,-0.774810120215281,-0.538708398618164,0.060622339095803
"paromp_Brooks004","paromp","Parmelia omphalodes","Lichen_Light","Lichen","white","lich_fo",0,4,90,464,"Brooks_Range",0.214067497255239,-0.243843990707911,-0.661438521876009,-0.779550517742252,-0.611841553030592,0.0442265579272247
"paromp_Brooks001","paromp","Parmelia omphalodes","Lichen_Light","Lichen","white","lich_fo",0,4,90,464,"Brooks_Range",0.207784860257232,-0.241807760619857,-0.587279410627471,-0.725990228752582,-0.538128687023121,0.0665891465372193
