Site,Measurement_Date,Spectra_Name,Sample_ID,USDA_Species_Code,Spectrometer_GPS_Lat,Spectrometer_GPS_Long,Measurement_Time_UTC,Instrument,Foreoptic,Collection_Units,Spectra_Units,Spectra_Type,Reflectance_Type,White_Reference_Standard,Spectral_Resolution,Interpolation_Method,Overlap_Handling,Overlap_Removal,Overlap_Matching_Type
Barrow (Utqiagvik) Environmental Observatory,20150711,1591,BNL1591,CAAQ,71.27536667,-156.6409233,23:22,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1592,BNL1592,CAAQ,71.27481,-156.64147,23:59,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1593,BNL1593,CAAQ,71.27463,-156.6412467,0:06,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1594,BNL1594,CAAQ,71.27456833,-156.6413433,0:16,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1595,BNL1595,CAAQ,71.274575,-156.6412683,0:27,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1596,BNL1596,CAAQ,71.27456,-156.6412183,0:41,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1643,BNL1643,ERAN6,71.27563,-156.6389967,19:22,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1644,BNL1644,ERAN6,71.27566,-156.639085,19:33,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1645,BNL1645,ERAN6,71.27561833,-156.639005,19:08,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1646,BNL1646,ERAN6,71.27544667,-156.640815,19:56,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1647,BNL1647,ERAN6,71.275445,-156.640815,20:06,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1648,BNL1648,ERAN6,71.27581833,-156.6414433,21:24,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1649,BNL1649,ERAN6,71.27581833,-156.641435,21:17,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1650,BNL1650,ERAN6,71.275815,-156.64144,20:57,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1651,BNL1651,ERAN6,71.275445,-156.640815,20:21,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1652,BNL1652,ERAN6,71.27545333,-156.6408233,20:13,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1653,BNL1653,ERAN6,71.27527667,-156.6438083,22:07,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1654,BNL1654,ERAN6,71.27528167,-156.6438117,22:21,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1655,BNL1655,ERAN6,71.27528333,-156.6438167,22:26,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1656,BNL1656,ERAN6,71.27528833,-156.6438067,22:30,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150713,1657,BNL1657,ERAN6,71.27529333,-156.6438,22:37,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1658,BNL1658,ERAN6,71.27573833,-156.6443867,18:36,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1659,BNL1659,ERAN6,71.27574,-156.6443517,18:46,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1660,BNL1660,ERAN6,71.27533167,-156.6437867,18:29,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150714,1661,BNL1661,ERAN6,71.27531667,-156.6438217,18:19,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
