"","Functional_group1","Functional_group1_wN","Wavelength","Median_Reflectance","Max_Reflectance","Min_Reflectance","Pct_87_5_Reflectance","Pct_12_5_Reflectance","Upper_Reflectance","Lower_Reflectance","Source"
"152","Abiotic","Abiotic (n= 94 scans, 5 species)",1151,33.45395,71.4718,14.1938,65.111825,18.1015,67.95,15.68655,"Ground"
"153","Abiotic","Abiotic (n= 94 scans, 5 species)",1152,33.4891,71.4584,14.1952,65.106175,18.1045,67.9472,15.69518,"Ground"
"154","Abiotic","Abiotic (n= 94 scans, 5 species)",1153,33.524,71.4465,14.1959,65.101875,18.1077,67.9452,15.7032,"Ground"
"155","Abiotic","Abiotic (n= 94 scans, 5 species)",1154,33.5571,71.4324,14.195,65.0960625,18.1101,67.9401,15.7096,"Ground"
"156","Abiotic","Abiotic (n= 94 scans, 5 species)",1155,33.5876,71.4144,14.1919,65.0872375,18.1115,67.9296,15.713855,"Ground"
"157","Abiotic","Abiotic (n= 94 scans, 5 species)",1156,33.61645,71.3943,14.187,65.076925,18.1125,67.9159,15.71642,"Ground"
"158","Abiotic","Abiotic (n= 94 scans, 5 species)",1157,33.644,71.3736,14.1812,65.066225,18.1128,67.901,15.71812,"Ground"
"159","Abiotic","Abiotic (n= 94 scans, 5 species)",1158,33.67065,71.3538,14.1752,65.0563875,18.112,67.8872,15.71988,"Ground"
"160","Abiotic","Abiotic (n= 94 scans, 5 species)",1159,33.69525,71.3336,14.1685,65.04675,18.1093,67.8737,15.721435,"Ground"
"161","Abiotic","Abiotic (n= 94 scans, 5 species)",1160,33.7181,71.3128,14.161,65.03705,18.1053,67.8601,15.72249,"Ground"
"162","Abiotic","Abiotic (n= 94 scans, 5 species)",1161,33.74195,71.2952,14.154,65.0292625,18.1015,67.8484,15.72403,"Ground"
"163","Abiotic","Abiotic (n= 94 scans, 5 species)",1162,33.76945,71.2845,14.1487,65.0253625,18.0997,67.8407,15.727005,"Ground"
"164","Abiotic","Abiotic (n= 94 scans, 5 species)",1163,33.8022,71.2822,14.146,65.025925,18.1004,67.8379,15.73213,"Ground"
"165","Abiotic","Abiotic (n= 94 scans, 5 species)",1164,33.8376,71.2853,14.1445,65.0295375,18.1025,67.8381,15.738365,"Ground"
"166","Abiotic","Abiotic (n= 94 scans, 5 species)",1165,33.87215,71.2903,14.1427,65.034625,18.1046,67.8399,15.74414,"Ground"
"167","Abiotic","Abiotic (n= 94 scans, 5 species)",1166,33.90245,71.2942,14.1389,65.039775,18.1058,67.8418,15.748125,"Ground"
"168","Abiotic","Abiotic (n= 94 scans, 5 species)",1167,33.9279,71.3001,14.133,65.047175,18.1058,67.846,15.749845,"Ground"
"169","Abiotic","Abiotic (n= 94 scans, 5 species)",1168,33.95175,71.3064,14.1264,65.0550875,18.1057,67.8508,15.750885,"Ground"
"170","Abiotic","Abiotic (n= 94 scans, 5 species)",1169,33.97735,71.3096,14.1205,65.060925,18.1064,67.8531,15.753125,"Ground"
"171","Abiotic","Abiotic (n= 94 scans, 5 species)",1170,34.0064,71.3064,14.1166,65.06195,18.1089,67.8499,15.758155,"Ground"
"172","Abiotic","Abiotic (n= 94 scans, 5 species)",1171,34.03365,71.2957,14.1139,65.0575375,18.1131,67.8401,15.765755,"Ground"
"173","Abiotic","Abiotic (n= 94 scans, 5 species)",1172,34.0616,71.2825,14.1122,65.0513125,18.1181,67.8284,15.77465,"Ground"
"174","Abiotic","Abiotic (n= 94 scans, 5 species)",1173,34.0903,71.2726,14.1115,65.0474125,18.1233,67.8201,15.783555,"Ground"
"175","Abiotic","Abiotic (n= 94 scans, 5 species)",1174,34.1202,71.2702,14.1123,65.0489625,18.1282,67.8194,15.79176,"Ground"
"176","Abiotic","Abiotic (n= 94 scans, 5 species)",1175,34.15165,71.2732,14.1148,65.05445,18.1337,67.8245,15.800195,"Ground"
